# T3 content-column inventory; shotgun_test migration 077; 2026-09-23
# column<TAB>postgres_type
projection.compiled_truth.projection	jsonb
projection.discovery_inferences.candidate	jsonb
projection.semantic_items.provenance	jsonb
review.approved_manifests_v2.manifest_json	jsonb
review.change_set_revisions_v2.change_set_json	jsonb
review.change_sets.change_set_json	jsonb
review.change_sets.manifest_json	jsonb
review.change_sets_v2.change_set_json	jsonb
review.decisions.decision_json	jsonb
review.decisions_v2.decision_json	jsonb
review.operation_resolutions_v2.analysis_revision_ids	jsonb
review.operation_resolutions_v2.candidate_evidence_ids	jsonb
review.operation_resolutions_v2.relationship_ids	jsonb
review.operation_resolutions_v2.relationship_material_digests	jsonb
review.operation_resolutions_v2.resolution_json	jsonb
review.reversals.reversal_json	jsonb
settings.history_payload_state.tombstone_metadata	jsonb
settings.policy_context_revisions.policy_binding	jsonb
settings.preference_commands.command_payload	jsonb
settings.preference_revisions.preferences_snapshot	jsonb
settings.principal_preferences.preferences	jsonb
settings.project_settings.value	jsonb
settings.resource_settings.value	jsonb
settings.settings_audit_events.details	jsonb
settings.settings_commands.command_payload	jsonb
settings.settings_review_proposals.payload	jsonb
settings.settings_revisions.settings_snapshot	jsonb
settings.system_settings.value	jsonb
source_product.intake_attempts.accepted_policy_binding	jsonb
source_product.intake_submission_items.input_manifest	jsonb
source_product.intake_submission_items.validation_results	jsonb
source_product.intake_submissions.accepted_policy_binding	jsonb
source_product.url_provenance_receipts.dns_observations	jsonb
source_product.url_provenance_receipts.redirect_observations	jsonb
source_product.url_provenance_receipts.response_metadata	jsonb
transformation.revisions.document_ir	jsonb
transformation.revisions.source_map	jsonb
validation.results.dimensions	jsonb
